Province,District,2016,2017,2018,2019,2020,2021
NTT,MANGGARAI,13,16,21,31,22,10
NTT,MANGGARAI BARAT,18,30,31,34,28,16
NTT,MANGGARAI TIMUR,11,12,15,23,16,17
NTT,NAGEKEO,19,27,40,31,30,18
NTT,NGADA,22,20,26,30,21,15
NTT,ROTE NDAO,21,15,17,23,20,6
NTT,SABU RAIJUA,23,14,14,28,31,15
NTT,SIKKA,28,29,32,42,36,31
NTT,SUMBA BARAT,68,63,61,94,55,9
NTT,SUMBA BARAT DAYA,27,29,30,42,50,22
NTT,SUMBA TENGAH,40,45,30,34,24,29
NTT,SUMBA TIMUR,41,55,37,45,29,13
NTT,TIMOR TENGAH SELATAN,17,25,25,34,27,16
NTT,TIMOR TENGAH UTARA,21,25,24,27,29,7
Maluku,BURU,22,21,29,29,39,15
Maluku,BURU SELATAN,22,21,23,36,13,16
Maluku,KEPULAUAN ARU,80,105,111,119,27,26
Maluku,KOTA AMBON,69,86,74,84,42,32
Maluku,KOTA TUAL,93,97,107,71,49,7
Maluku,MALUKU BARAT DAYA,26,33,56,45,47,25
Maluku,MALUKU TENGAH,38,34,37,60,23,18
Maluku,MALUKU TENGGARA,118,159,137,108,41,17
Maluku,MALUKU TENGGARA BARAT,38,37,60,64,20,14
Maluku,SERAM BAGIAN BARAT,23,20,3,35,45,12
Maluku,SERAM BAGIAN TIMUR,28,43,55,42,23,20
